,Station Name,Station Latitude,Station Longitude,census_tract_id,TractId,HHIncomePct_score
0,103rd St,40.78116516666666,-73.92909208333334,36061016200,36061016200,2.0
1,104th St-102nd St,40.695178000000006,-73.84433,36081002600,36081002600,8.0
2,104th St-Oxford Av,40.681711,-73.837683,36081009400,36081009400,5.0
3,110th St,40.79502,-73.94425,36061017200,36061017200,3.0
4,110th St-Central Park North,40.799075,-73.95182199999999,36061018600,36061018600,2.0
5,111th St,40.73000520000001,-73.8477384,36081074100,36081074100,7.0
6,111th St-Greenwood Av,40.684331,-73.832163,36081009600,36081009600,9.0
7,116th St,40.801937333333335,-73.94870799999997,36061019000,36061019000,5.0
8,116th St-Columbia University,40.807722,-73.96410999999999,36061020500,36061020500,10.0
9,121st St,40.700492,-73.828294,36081014400,36081014400,4.0
10,125th St,40.80950968421052,-73.94828926315787,36061022200,36061022200,5.0
11,135th St,40.816428,-73.94489740000002,36061022800,36061022800,3.0
12,137th St-City College,40.822008000000004,-73.953676,36061022301,36061022301,3.0
13,138th St,40.813224,-73.929849,36005005100,36005005100,1.0
14,149th St-Grand Concourse,40.818375,-73.927351,36005005100,36005005100,1.0
15,138th St-3rd Ave,40.810476,-73.926138,36005002300,36005002300,1.0
16,145th St,40.82384884615385,-73.94318123076923,36061023100,36061023100,3.0
17,149th St-3rd Av,40.816109000000004,-73.917757,36005006500,36005006500,1.0
18,14th St,40.73892430769232,-73.9991237692308,36061008100,36061008100,10.0
19,18th St,40.741040000000005,-73.99787099999999,36061008100,36061008100,10.0
20,14th St-Union Square,40.734672999999994,-73.989951,36061005000,36061005000,10.0
21,50th St,40.73699839999999,-73.98710490000002,36061005000,36061005000,10.0
22,59th St,40.73621624,-73.98655547999999,36061005000,36061005000,10.0
23,155th St,40.83046328571428,-73.94104185714285,36061023501,36061023501,3.0
24,157th St,40.834041,-73.94489,36061024100,36061024100,5.0
25,163rd St - Amsterdam Av,40.836013,-73.939892,36061024301,36061024301,3.0
26,167th St,40.8344762,-73.91961919999999,36005019700,36005019700,1.0
27,168th St,40.840556,-73.94013299999999,36061025100,36061025100,2.0
28,168th St - Washington Heights,40.840719,-73.939561,36061025100,36061025100,2.0
29,169th St,40.710469999999994,-73.793604,36081046000,36081046000,2.0
30,170th St,40.839594375000004,-73.915046625,36005022300,36005022300,1.0
31,174-175th Sts,40.8459,-73.910136,36005022901,36005022901,1.0
32,174th St,40.837288,-73.887734,36005016100,36005016100,1.0
33,175th St,40.847390999999995,-73.939704,36061026300,36061026300,2.0
34,176th St,40.84848,-73.911794,36005021700,36005021700,1.0
35,181st St,40.85106928571429,-73.93671957142855,36061027300,36061027300,8.0
36,182nd-183rd Sts,40.856093,-73.900741,36005038301,36005038301,1.0
37,183rd St,40.858407,-73.903879,36005023900,36005023900,1.0
38,18th Av,40.62046933333333,-73.9882133333333,36047024800,36047024800,4.0
39,190th St,40.859021999999996,-73.93418,36061028100,36061028100,9.0
40,191st St,40.855225,-73.929412,36061027900,36061027900,3.0
41,1st Av,40.730953,-73.981628,36061003400,36061003400,8.0
42,207th St,40.864614,-73.918819,36061029900,36061029900,1.0
43,20th Av,40.6071268,-73.99553960000001,36047028800,36047028800,4.0
44,215th St,40.869444,-73.915279,36061030300,36061030300,6.0
45,219th St,40.883895,-73.862633,36005039200,36005039200,3.0
46,21st St,40.75040125,-73.94541900000002,36081001900,36081001900,10.0
47,23rd St-Ely Av,40.747846,-73.946,36081001900,36081001900,10.0
48,45 Rd-Court House Sq,40.747023,-73.945264,36081001900,36081001900,10.0
49,Long Island City-Court Square,40.746553999999996,-73.943832,36081001900,36081001900,10.0
50,Queensboro Plaza,40.750582,-73.940202,36081001900,36081001900,10.0
51,225th St,40.888022,-73.860341,36005040800,36005040800,2.0
52,231st St,40.878856,-73.904834,36005028300,36005028300,1.0
53,238th St,40.884667,-73.90087,36005028300,36005028300,1.0
54,233rd St,40.893193,-73.857473,36005042200,36005042200,5.0
55,238th St-Nereid Av,40.898379,-73.854376,36005041800,36005041800,3.0
56,23rd St,40.74283784999999,-73.99244474999999,36061005800,36061005800,10.0
57,28th St,40.74510329411765,-73.98851776470586,36061005800,36061005800,10.0
58,25th Av,40.597704,-73.986829,36047030000,36047030000,4.0
59,25th St,40.660396999999996,-73.998091,36047010100,36047010100,6.0
60,2nd Av,40.723402,-73.989938,36061003602,36061003602,9.0
61,30 Av-Grand Av,40.766779,-73.921479,36081006300,36081006300,7.0
62,33rd St,40.746081,-73.982076,36061007400,36061007400,10.0
63,34 St Hudson Yards,40.755882,-74.00191,36061009900,36061009900,10.0
64,34th St,40.750881780487845,-73.9908759268293,36061010100,36061010100,10.0
65,36 Av-Washington Av,40.756803999999995,-73.929575,36081005300,36081005300,6.0
66,36th St,40.715703375000004,-73.956819,36047051900,36047051900,10.0
67,39 Av-Beebe Av,40.752882,-73.932755,36081003100,36081003100,5.0
68,3rd Av,40.732849,-73.986122,36061004800,36061004800,10.0
69,42nd St,40.755765,-73.987152,36061011300,36061011300,10.0
70,Times Square,40.7553593,-73.98736839999998,36061011300,36061011300,10.0
